Date,Description,Amount
2018-03-08,Edeka Kelz,-9.07
2018-03-08,SATURN,-200.58
2018-03-05,Edeka Kelz,-10.53
2018-01-28,Payment from J Lamb,300
2018-01-20,Headrow House,-9.10
