Date,Description,Amount
12/12/2017,IZ *PALAGANDER LIMITED  ,-8.00
12/12/2017,MARKS&SPENCER PLC       ,-12.35
12/12/2017,THE BRUNSWICK           ,-13.30
11/12/2017,UBER BV                 ,-5.99
02/12/2017,DELIVEROOCOUK           ,-16.95
01/12/2017,WILKO RETAIL LIMIT      ,-27.05
01/12/2017,SAINSBURYS SACAT(4218)  ,-2.74
25/11/2017,WILKO RETAIL LIMIT      ,-12.35
16/11/2017,DIRECT DEBIT PAYMENT -  ,662.35
